dataset,feature,classifier,iteration,accuracy,precision,recall,f1,kappa
bilbao,LTAS,KNeighborsClassifier,0,0.15384615384615385,0.2154761904761905,0.15512820512820513,0.15810087348548885,0.08215661103979477
bilbao,LTAS,KNeighborsClassifier,1,0.1076923076923077,0.10521978021978022,0.10897435897435898,0.10381178650409417,0.03159517081941954
bilbao,LTAS,KNeighborsClassifier,2,0.18461538461538463,0.22344322344322343,0.16923076923076924,0.1645322626091857,0.11462349010537132
bilbao,LTAS,KNeighborsClassifier,3,0.2153846153846154,0.2775641025641026,0.21153846153846154,0.21265017034247802,0.14847161572052403
bilbao,LTAS,KNeighborsClassifier,4,0.23076923076923078,0.2690476190476191,0.2294871794871795,0.22850395218816272,0.1662390969728066
bilbao,LTAS,KNeighborsClassifier,5,0.18461538461538463,0.19291819291819293,0.1935897435897436,0.18777120315581855,0.1166666666666667
bilbao,LTAS,KNeighborsClassifier,6,0.16923076923076924,0.2827838827838828,0.17051282051282052,0.19331501831501832,0.09884467265725283
bilbao,LTAS,KNeighborsClassifier,7,0.18461538461538463,0.2316849816849817,0.18589743589743588,0.18933288933288933,0.11598665640236083
bilbao,LTAS,KNeighborsClassifier,8,0.26153846153846155,0.27912087912087913,0.26282051282051283,0.25792327330788867,0.19711785898095724
bilbao,LTAS,KNeighborsClassifier,9,0.27692307692307694,0.26172161172161174,0.27820512820512816,0.2527668912284297,0.21626475115443822
bilbao,LTAS,SVC,0,0.8615384615384616,0.8765567765567766,0.8576923076923078,0.8562309485386409,0.849768875192604
bilbao,LTAS,SVC,1,0.7846153846153846,0.802991452991453,0.7820512820512822,0.7853979353979355,0.7661870503597122
bilbao,LTAS,SVC,2,0.8153846153846154,0.8305860805860807,0.8025641025641026,0.8024475524475523,0.7996403801695351
bilbao,LTAS,SVC,3,0.8615384615384616,0.8811355311355311,0.8576923076923078,0.8534179495717957,0.8497302851271513
bilbao,LTAS,SVC,4,0.9230769230769231,0.926923076923077,0.9230769230769231,0.9191919191919191,0.9166025147549397
bilbao,LTAS,SVC,5,0.8307692307692308,0.8911921411921411,0.8217948717948718,0.8170523920523921,0.8163841807909604
bilbao,LTAS,SVC,6,0.9384615384615385,0.9523809523809524,0.9435897435897437,0.9407148407148408,0.9332991277578245
bilbao,LTAS,SVC,7,0.7846153846153846,0.8123626373626374,0.7782051282051282,0.7792792677408061,0.7664271047227926
bilbao,LTAS,SVC,8,0.9076923076923077,0.91978021978022,0.9064102564102564,0.9041450002988463,0.8999230177059276
bilbao,LTAS,SVC,9,0.9230769230769231,0.9307692307692308,0.9282051282051283,0.9255633255633254,0.9166452936650423
bilbao,LTCC,KNeighborsClassifier,0,0.15384615384615385,0.2154761904761905,0.15512820512820513,0.15810087348548885,0.08215661103979477
bilbao,LTCC,KNeighborsClassifier,1,0.1076923076923077,0.10521978021978022,0.10897435897435898,0.10381178650409417,0.03159517081941954
bilbao,LTCC,KNeighborsClassifier,2,0.18461538461538463,0.22344322344322343,0.16923076923076924,0.1645322626091857,0.11462349010537132
bilbao,LTCC,KNeighborsClassifier,3,0.2153846153846154,0.24081196581196582,0.21153846153846154,0.21045236814467583,0.14847161572052403
bilbao,LTCC,KNeighborsClassifier,4,0.23076923076923078,0.2690476190476191,0.2294871794871795,0.22850395218816272,0.1662390969728066
bilbao,LTCC,KNeighborsClassifier,5,0.18461538461538463,0.19291819291819293,0.1935897435897436,0.18777120315581855,0.1166666666666667
bilbao,LTCC,KNeighborsClassifier,6,0.16923076923076924,0.2827838827838828,0.17051282051282052,0.19331501831501832,0.09884467265725283
bilbao,LTCC,KNeighborsClassifier,7,0.18461538461538463,0.2316849816849817,0.18589743589743588,0.18933288933288933,0.11598665640236083
bilbao,LTCC,KNeighborsClassifier,8,0.26153846153846155,0.27912087912087913,0.26282051282051283,0.25792327330788867,0.19711785898095724
bilbao,LTCC,KNeighborsClassifier,9,0.27692307692307694,0.26172161172161174,0.27820512820512816,0.2527668912284297,0.21626475115443822
bilbao,LTCC,SVC,0,0.8615384615384616,0.8765567765567766,0.8576923076923078,0.8562309485386409,0.849768875192604
bilbao,LTCC,SVC,1,0.7846153846153846,0.802991452991453,0.7820512820512822,0.7853979353979355,0.7661870503597122
bilbao,LTCC,SVC,2,0.8153846153846154,0.8305860805860807,0.8025641025641026,0.8024475524475523,0.7996403801695351
bilbao,LTCC,SVC,3,0.8615384615384616,0.8811355311355311,0.8576923076923078,0.8534179495717957,0.8497302851271513
bilbao,LTCC,SVC,4,0.9230769230769231,0.926923076923077,0.9230769230769231,0.9191919191919191,0.9166025147549397
bilbao,LTCC,SVC,5,0.8307692307692308,0.8911921411921411,0.8217948717948718,0.8170523920523921,0.8163841807909604
bilbao,LTCC,SVC,6,0.9384615384615385,0.9523809523809524,0.9435897435897437,0.9407148407148408,0.9332991277578245
bilbao,LTCC,SVC,7,0.7846153846153846,0.8123626373626374,0.7782051282051282,0.7792792677408061,0.7664271047227926
bilbao,LTCC,SVC,8,0.9076923076923077,0.91978021978022,0.9064102564102564,0.9041450002988463,0.8999230177059276
bilbao,LTCC,SVC,9,0.9230769230769231,0.9307692307692308,0.9282051282051283,0.9255633255633254,0.9166452936650423
bilbao,MFCC,KNeighborsClassifier,0,0.5538461538461539,0.5992424242424244,0.5435897435897437,0.5563048063048063,0.5159219311761685
bilbao,MFCC,KNeighborsClassifier,1,0.38461538461538464,0.38717948717948725,0.37820512820512825,0.37134630075806546,0.3323061119671289
bilbao,MFCC,KNeighborsClassifier,2,0.46153846153846156,0.5414224664224664,0.4525641025641026,0.46254301254301244,0.4162176032845779
bilbao,MFCC,KNeighborsClassifier,3,0.5692307692307692,0.5633699633699634,0.5576923076923077,0.541248495094649,0.5327342747111681
bilbao,MFCC,KNeighborsClassifier,4,0.6307692307692307,0.6586691086691085,0.6282051282051282,0.6254514716053178,0.5996920708237106
bilbao,MFCC,KNeighborsClassifier,5,0.5076923076923077,0.5995726495726496,0.5153846153846153,0.5327450327450328,0.4661190965092402
bilbao,MFCC,KNeighborsClassifier,6,0.5692307692307692,0.583974358974359,0.5589743589743589,0.5582759121220661,0.5329740826276623
bilbao,MFCC,KNeighborsClassifier,7,0.5384615384615384,0.6047619047619047,0.5333333333333333,0.5386063910950788,0.4996150885296382
bilbao,MFCC,KNeighborsClassifier,8,0.5692307692307692,0.6075091575091575,0.5615384615384615,0.5671670210131748,0.5322539193009509
bilbao,MFCC,KNeighborsClassifier,9,0.5692307692307692,0.6517482517482519,0.5705128205128205,0.5698060486522025,0.5324942203955818
bilbao,MFCC,SVC,0,0.9076923076923077,0.9197802197802198,0.9076923076923079,0.9067479529017992,0.8999230177059276
bilbao,MFCC,SVC,1,0.8461538461538461,0.8738095238095238,0.8487179487179488,0.8456368417906879,0.8332905873300847
bilbao,MFCC,SVC,2,0.7846153846153846,0.8243589743589743,0.7730769230769231,0.7818950280488741,0.7661870503597122
bilbao,MFCC,SVC,3,0.9076923076923077,0.9115384615384616,0.9064102564102565,0.9047785547785547,0.8999486916367367
bilbao,MFCC,SVC,4,0.7692307692307693,0.8012820512820513,0.7705128205128206,0.7764013764013764,0.7499358809951269
bilbao,MFCC,SVC,5,0.8615384615384616,0.884981684981685,0.8628205128205126,0.858025308025308,0.8498459958932238
bilbao,MFCC,SVC,6,0.9076923076923077,0.9230769230769231,0.9038461538461539,0.904933954933955,0.8999486916367367
bilbao,MFCC,SVC,7,0.8615384615384616,0.8785714285714286,0.8628205128205129,0.8581640581640582,0.85
bilbao,MFCC,SVC,8,0.9230769230769231,0.9351648351648353,0.9256410256410258,0.9236865698404161,0.9166239096972807
bilbao,MFCC,SVC,9,0.8923076923076924,0.893956043956044,0.8935897435897435,0.8870509832048292,0.8832135523613963
cnsm,LTAS,KNeighborsClassifier,0,0.8865248226950354,0.9065627063833664,0.8511036763155407,0.8677248677248678,0.820178147978399
cnsm,LTAS,KNeighborsClassifier,1,0.8546099290780141,0.8911111111111111,0.8029565582531685,0.8203469292076887,0.7674063046933151
cnsm,LTAS,KNeighborsClassifier,2,0.851063829787234,0.8802074167927826,0.8027271363704541,0.819454679439941,0.7622546067686379
cnsm,LTAS,KNeighborsClassifier,3,0.875886524822695,0.8881981364906445,0.8449750239760738,0.8589037954363031,0.8039799809342231
cnsm,LTAS,KNeighborsClassifier,4,0.9078014184397163,0.9268518518518518,0.8850019814002864,0.9000263700808165,0.8546449387415249
cnsm,LTAS,KNeighborsClassifier,5,0.8829787234042553,0.9091116121245246,0.8507742003504714,0.8686202138561065,0.8145439327208593
cnsm,LTAS,KNeighborsClassifier,6,0.8794326241134752,0.9009503495345522,0.8425251464699492,0.8593482780674898,0.8087372830640335
cnsm,LTAS,KNeighborsClassifier,7,0.9042553191489362,0.9268092105263158,0.8688190308953021,0.8859288133180087,0.8482904279907548
cnsm,LTAS,KNeighborsClassifier,8,0.900709219858156,0.9175370022930998,0.8604656130829822,0.8765291524335055,0.8424989527855903
cnsm,LTAS,KNeighborsClassifier,9,0.8829787234042553,0.9094747775820801,0.8481542983661629,0.8661644915476922,0.8143589538989408
cnsm,LTAS,SVC,0,0.9539007092198581,0.9586724986130788,0.9557747820459684,0.9571184566779279,0.9282905932750425
cnsm,LTAS,SVC,1,0.950354609929078,0.9557508583370652,0.9474515374939103,0.951279520198621,0.9226155474538398
cnsm,LTAS,SVC,2,0.9290780141843972,0.9334629581723455,0.9271818227270455,0.929435174737809,0.8896130585403088
cnsm,LTAS,SVC,3,0.9468085106382979,0.944945243305899,0.9498697792383108,0.9472943722943722,0.9175149175149175
cnsm,LTAS,SVC,4,0.9609929078014184,0.9674199325747997,0.961807600578787,0.9644909688013136,0.9392645964678702
cnsm,LTAS,SVC,5,0.9645390070921985,0.9703961230509903,0.9647837910549776,0.9674671592775042,0.9447859967889729
cnsm,LTAS,SVC,6,0.9645390070921985,0.9609216793588318,0.9672384562590053,0.9635756075969333,0.9450485209867883
cnsm,LTAS,SVC,7,0.9645390070921985,0.9652670549460473,0.9675109431465364,0.9660985984889773,0.9449595003415634
cnsm,LTAS,SVC,8,0.950354609929078,0.9562210777728019,0.9475808027780429,0.951405364026983,0.922633744855967
cnsm,LTAS,SVC,9,0.9539007092198581,0.9589311251343586,0.9532085051152848,0.955761778647822,0.9282260117078137
cnsm,LTCC,KNeighborsClassifier,0,0.8900709219858156,0.9091530054644809,0.8540798667917312,0.8705390444327842,0.8257941094416325
cnsm,LTCC,KNeighborsClassifier,1,0.8546099290780141,0.8911111111111111,0.8029565582531685,0.8203469292076887,0.7674063046933151
cnsm,LTCC,KNeighborsClassifier,2,0.8546099290780141,0.8827055635262235,0.8083768538845785,0.8253799115123174,0.7681525597064308
cnsm,LTCC,KNeighborsClassifier,3,0.875886524822695,0.8881981364906445,0.8449750239760738,0.8589037954363031,0.8039799809342231
cnsm,LTCC,KNeighborsClassifier,4,0.9078014184397163,0.9268518518518518,0.8850019814002864,0.9000263700808165,0.8546449387415249
cnsm,LTCC,KNeighborsClassifier,5,0.8829787234042553,0.9091116121245246,0.8507742003504714,0.8686202138561065,0.8145439327208593
cnsm,LTCC,KNeighborsClassifier,6,0.8829787234042553,0.9035974499089253,0.8481748639840735,0.864767252217304,0.8145624103299857
cnsm,LTCC,KNeighborsClassifier,7,0.9042553191489362,0.9268092105263158,0.8688190308953021,0.8859288133180087,0.8482904279907548
cnsm,LTCC,KNeighborsClassifier,8,0.900709219858156,0.9175370022930998,0.8604656130829822,0.8765291524335055,0.8424989527855903
cnsm,LTCC,KNeighborsClassifier,9,0.8865248226950354,0.9118457300275482,0.8538040158802871,0.8715135918406601,0.8201709810486041
cnsm,LTCC,SVC,0,0.9539007092198581,0.9586724986130788,0.9557747820459684,0.9571184566779279,0.9282905932750425
cnsm,LTCC,SVC,1,0.9645390070921985,0.9675380810392252,0.9620834514902312,0.9646520850245238,0.944782753421707
cnsm,LTCC,SVC,2,0.9326241134751773,0.9394055106319258,0.9302121257573486,0.9336906889021241,0.8950276243093923
cnsm,LTCC,SVC,3,0.9574468085106383,0.9520644876827672,0.95896068832922,0.95512958079803,0.9340890499006661
cnsm,LTCC,SVC,4,0.9609929078014184,0.9675889328063242,0.9618344131055995,0.9644885960113303,0.9392669747043622
cnsm,LTCC,SVC,5,0.9609929078014184,0.9645417465069586,0.961807600578787,0.9631191242738328,0.939327556868191
cnsm,LTCC,SVC,6,0.9609929078014184,0.9601022838727756,0.9642081532287022,0.9617183620027993,0.9394897003745318
cnsm,LTCC,SVC,7,0.9645390070921985,0.968036187334433,0.9621907015974812,0.9646886285724762,0.9447903206860097
cnsm,LTCC,SVC,8,0.9680851063829787,0.9703651019440493,0.9650299303216657,0.9675889425869322,0.9503025318686483
cnsm,LTCC,SVC,9,0.9609929078014184,0.9645218318658002,0.9591608860676657,0.9617200328407226,0.9392645964678702
cnsm,MFCC,KNeighborsClassifier,0,0.9042553191489362,0.9251051893408135,0.8766787368482284,0.8929151581636604,0.8487304803909882
cnsm,MFCC,KNeighborsClassifier,1,0.9078014184397163,0.912962962962963,0.8769814002864851,0.8894162905052196,0.8546449387415249
cnsm,MFCC,KNeighborsClassifier,2,0.875886524822695,0.8887402529098352,0.8450554744990023,0.8589330337404698,0.8040033361134279
cnsm,MFCC,KNeighborsClassifier,3,0.8971631205673759,0.9015060442129167,0.8683152206026062,0.8796581196581196,0.8381042879201805
cnsm,MFCC,KNeighborsClassifier,4,0.9042553191489362,0.915000411164094,0.8793522638861622,0.8923136269253603,0.8492187654712161
cnsm,MFCC,KNeighborsClassifier,5,0.8971631205673759,0.9143426597649552,0.8680528288579136,0.8835053061704441,0.8375446960667461
cnsm,MFCC,KNeighborsClassifier,6,0.8971631205673759,0.9052009434652234,0.8759321124852848,0.8871603354231911,0.8383443040977288
cnsm,MFCC,KNeighborsClassifier,7,0.9113475177304965,0.9159842943542004,0.8800916533967381,0.8923906805032032,0.8602466003251001
cnsm,MFCC,KNeighborsClassifier,8,0.8900709219858156,0.9032382407338645,0.846216325547359,0.8613097349773918,0.8254148942543886
cnsm,MFCC,KNeighborsClassifier,9,0.8936170212765957,0.9112566341379901,0.867750165419657,0.8828092783348165,0.8321162089220511
cnsm,MFCC,SVC,0,0.9184397163120568,0.9296967473572978,0.9206390106813837,0.9246858867938421,0.8728858402743753
cnsm,MFCC,SVC,1,0.9148936170212766,0.9170451605011456,0.9069687120534579,0.911578947368421,0.8672134042260983
cnsm,MFCC,SVC,2,0.8865248226950354,0.8939100504042488,0.8833621955265872,0.8868803835246579,0.8232355879414703
cnsm,MFCC,SVC,3,0.9184397163120568,0.9109971025858877,0.9233297426037789,0.9162267839687194,0.8740533612955843
cnsm,MFCC,SVC,4,0.9432624113475178,0.9498746867167919,0.9415259690683419,0.9454278812974465,0.9115675590921564
cnsm,MFCC,SVC,5,0.8900709219858156,0.8916125826649782,0.9020424783136648,0.8957030537582593,0.8300775555425972
cnsm,MFCC,SVC,6,0.900709219858156,0.9116776765539772,0.8949202539873006,0.9023078529657477,0.8447563996696945
cnsm,MFCC,SVC,7,0.9219858156028369,0.921934031400267,0.9209416741196402,0.921127497826223,0.8787878787878788
cnsm,MFCC,SVC,8,0.9290780141843972,0.9321219715956559,0.9242406061515106,0.9278680699332873,0.8894637817497648
cnsm,MFCC,SVC,9,0.9184397163120568,0.9231957105152261,0.9179386711166373,0.920462748197401,0.8730053061304408
villefavard2026,LTAS,KNeighborsClassifier,0,0.5189873417721519,0.5175018725438894,0.5153679653679654,0.5065454086143741,0.43793297135367915
villefavard2026,LTAS,KNeighborsClassifier,1,0.3670886075949367,0.446273964131107,0.36558441558441557,0.3812776147141472,0.2587727528617001
villefavard2026,LTAS,KNeighborsClassifier,2,0.5443037974683544,0.5684714795008913,0.5448051948051947,0.5454528007482845,0.46721618583739233
villefavard2026,LTAS,KNeighborsClassifier,3,0.5822784810126582,0.6120748299319728,0.5757575757575758,0.5762826141206168,0.5120718697361033
villefavard2026,LTAS,KNeighborsClassifier,4,0.45569620253164556,0.49264433045945655,0.4499999999999999,0.44544392680136846,0.36373852781419735
villefavard2026,LTAS,KNeighborsClassifier,5,0.45569620253164556,0.42767106842737096,0.4506493506493507,0.4278936137612063,0.36433383233532934
villefavard2026,LTAS,KNeighborsClassifier,6,0.5443037974683544,0.5605921855921855,0.5458874458874459,0.533634113153564,0.46811296053861984
villefavard2026,LTAS,KNeighborsClassifier,7,0.43037974683544306,0.5037681739362412,0.4261904761904762,0.4483611626468769,0.3345189067764881
villefavard2026,LTAS,KNeighborsClassifier,8,0.4936708860759494,0.47788975730152206,0.4915584415584416,0.4789856921944261,0.40846125046798964
villefavard2026,LTAS,KNeighborsClassifier,9,0.46835443037974683,0.49999999999999994,0.4666666666666667,0.4722831924531827,0.37853530623712295
villefavard2026,LTAS,SVC,0,0.9873417721518988,0.988095238095238,0.988095238095238,0.9875776397515528,0.9852253600149616
villefavard2026,LTAS,SVC,1,1.0,1.0,1.0,1.0,1.0
villefavard2026,LTAS,SVC,2,1.0,1.0,1.0,1.0,1.0
villefavard2026,LTAS,SVC,3,0.9873417721518988,0.988095238095238,0.987012987012987,0.986986098787341,0.9852225963337075
villefavard2026,LTAS,SVC,4,0.9746835443037974,0.9780219780219781,0.9751082251082251,0.9750813368825791,0.9704507200299233
villefavard2026,LTAS,SVC,5,0.9746835443037974,0.9780219780219781,0.9761904761904763,0.9751082251082251,0.9704562453253552
villefavard2026,LTAS,SVC,6,0.9873417721518988,0.989010989010989,0.987012987012987,0.987482993197279,0.9852198316183349
villefavard2026,LTAS,SVC,7,0.9873417721518988,0.989010989010989,0.987012987012987,0.987482993197279,0.9852198316183349
villefavard2026,LTAS,SVC,8,1.0,1.0,1.0,1.0,1.0
villefavard2026,LTAS,SVC,9,0.9873417721518988,0.989010989010989,0.987012987012987,0.987482993197279,0.9852198316183349
villefavard2026,LTCC,KNeighborsClassifier,0,0.5189873417721519,0.5175018725438894,0.5153679653679654,0.5065454086143741,0.43793297135367915
villefavard2026,LTCC,KNeighborsClassifier,1,0.3670886075949367,0.446273964131107,0.36558441558441557,0.3812776147141472,0.2587727528617001
villefavard2026,LTCC,KNeighborsClassifier,2,0.5443037974683544,0.5684714795008913,0.5448051948051947,0.5454528007482845,0.46721618583739233
villefavard2026,LTCC,KNeighborsClassifier,3,0.5822784810126582,0.6120748299319728,0.5757575757575758,0.5762826141206168,0.5120718697361033
villefavard2026,LTCC,KNeighborsClassifier,4,0.45569620253164556,0.49264433045945655,0.4499999999999999,0.44544392680136846,0.36373852781419735
villefavard2026,LTCC,KNeighborsClassifier,5,0.46835443037974683,0.4469196769616937,0.4636363636363637,0.4446482804014565,0.37911676646706594
villefavard2026,LTCC,KNeighborsClassifier,6,0.5443037974683544,0.5605921855921855,0.5458874458874459,0.533634113153564,0.46811296053861984
villefavard2026,LTCC,KNeighborsClassifier,7,0.43037974683544306,0.5037681739362412,0.4261904761904762,0.4483611626468769,0.3345189067764881
villefavard2026,LTCC,KNeighborsClassifier,8,0.4936708860759494,0.47788975730152206,0.4915584415584416,0.4789856921944261,0.40846125046798964
villefavard2026,LTCC,KNeighborsClassifier,9,0.45569620253164556,0.4916505063563887,0.4547619047619048,0.46284862402311194,0.3638576779026217
villefavard2026,LTCC,SVC,0,0.9873417721518988,0.988095238095238,0.988095238095238,0.9875776397515528,0.9852253600149616
villefavard2026,LTCC,SVC,1,1.0,1.0,1.0,1.0,1.0
villefavard2026,LTCC,SVC,2,1.0,1.0,1.0,1.0,1.0
villefavard2026,LTCC,SVC,3,0.9873417721518988,0.988095238095238,0.987012987012987,0.986986098787341,0.9852225963337075
villefavard2026,LTCC,SVC,4,0.9746835443037974,0.9780219780219781,0.9751082251082251,0.9750813368825791,0.9704507200299233
villefavard2026,LTCC,SVC,5,0.9746835443037974,0.9780219780219781,0.9761904761904763,0.9751082251082251,0.9704562453253552
villefavard2026,LTCC,SVC,6,0.9873417721518988,0.989010989010989,0.987012987012987,0.987482993197279,0.9852198316183349
villefavard2026,LTCC,SVC,7,0.9873417721518988,0.989010989010989,0.987012987012987,0.987482993197279,0.9852198316183349
villefavard2026,LTCC,SVC,8,1.0,1.0,1.0,1.0,1.0
villefavard2026,LTCC,SVC,9,0.9873417721518988,0.989010989010989,0.987012987012987,0.987482993197279,0.9852198316183349
villefavard2026,MFCC,KNeighborsClassifier,0,0.4936708860759494,0.5051587301587301,0.4891774891774891,0.48730732829163487,0.4087932647333956
villefavard2026,MFCC,KNeighborsClassifier,1,0.4430379746835443,0.4540382341134221,0.43419913419913414,0.4254860282413035,0.34918554577794414
villefavard2026,MFCC,KNeighborsClassifier,2,0.5569620253164557,0.5562794348508634,0.5493506493506494,0.549068331497999,0.4825004679019279
villefavard2026,MFCC,KNeighborsClassifier,3,0.5189873417721519,0.5130952380952382,0.5082251082251082,0.5074562543506643,0.43814336515066443
villefavard2026,MFCC,KNeighborsClassifier,4,0.4810126582278481,0.5229437229437229,0.47337662337662334,0.4805859020006645,0.39378626239940095
villefavard2026,MFCC,KNeighborsClassifier,5,0.620253164556962,0.6293650793650795,0.6142857142857142,0.6043894457794651,0.5563459378509922
villefavard2026,MFCC,KNeighborsClassifier,6,0.5063291139240507,0.5904341272762325,0.5008658008658009,0.5064822134387351,0.4235734331150608
villefavard2026,MFCC,KNeighborsClassifier,7,0.4177215189873418,0.3864604932882244,0.40606060606060607,0.3856396477086132,0.3190931234776092
villefavard2026,MFCC,KNeighborsClassifier,8,0.5189873417721519,0.5326359914595209,0.508008658008658,0.49421493706588,0.43677298311444657
villefavard2026,MFCC,KNeighborsClassifier,9,0.46835443037974683,0.48168498168498164,0.46515151515151515,0.45389471284611954,0.37876802096985585
villefavard2026,MFCC,SVC,0,0.9873417721518988,0.988095238095238,0.988095238095238,0.9875776397515528,0.9852253600149616
villefavard2026,MFCC,SVC,1,0.9493670886075949,0.9583987441130298,0.9480519480519481,0.9477837450769782,0.9408793264733396
villefavard2026,MFCC,SVC,2,0.9873417721518988,0.989010989010989,0.987012987012987,0.987482993197279,0.9852198316183349
villefavard2026,MFCC,SVC,3,0.9746835443037974,0.9780219780219781,0.974025974025974,0.9744897959183673,0.9704451926674149
villefavard2026,MFCC,SVC,4,0.9873417721518988,0.988095238095238,0.988095238095238,0.9875776397515528,0.9852253600149616
villefavard2026,MFCC,SVC,5,0.9746835443037974,0.9780219780219781,0.9761904761904763,0.9751082251082251,0.9704562453253552
villefavard2026,MFCC,SVC,6,0.9620253164556962,0.963036963036963,0.961038961038961,0.961508967223253,0.9556594948550047
villefavard2026,MFCC,SVC,7,0.9493670886075949,0.9535147392290249,0.949134199134199,0.9494505494505495,0.9408682634730539
villefavard2026,MFCC,SVC,8,1.0,1.0,1.0,1.0,1.0
villefavard2026,MFCC,SVC,9,0.9746835443037974,0.9771062271062272,0.974025974025974,0.97446909198462,0.9704396632366697
